0,1,2,3,4,5,6,7,8,9,10,11,12,Etiqueta
-569.36847,170.06516,46.764515,-13.737456,-9.31925,21.778637,18.454704,15.319493,0.590266,0.11386376,-0.47457743,7.1745844,7.1535454,Bronchiectasis
-560.8664,174.58052,39.469257,-18.446842,-5.7147546,25.415758,17.902885,13.613942,-1.4693781,-1.7979062,-3.8027554,5.537547,8.80689,Bronchiectasis
-515.10345,59.09781,49.844715,38.794346,29.446718,23.55261,20.912926,20.025934,19.170084,17.36344,14.691308,11.88217,9.636916,Bronchiectasis
-596.27026,143.62079,64.64461,17.550177,-0.39256254,7.26498,3.8301897,7.4142766,1.3814461,10.185081,13.923298,17.477938,11.728839,Bronchiectasis
-577.7718,93.71749,64.59205,37.581673,25.494173,27.017239,31.595573,30.5736,23.54254,15.715335,11.32651,10.2073145,9.623,Bronchiectasis
-635.7003,103.660225,53.20159,29.544748,16.421635,23.771038,25.513237,33.263397,24.256214,19.927525,11.13703,10.754892,8.99613,Bronchiectasis
-572.38,132.47408,76.48273,27.986765,9.116867,13.495572,21.884586,22.179094,15.248033,8.45261,6.893955,9.310507,10.647596,Bronchiectasis
-575.3927,125.12569,77.56132,33.23031,12.274136,13.009533,20.143076,21.21004,15.058569,8.242967,6.220664,8.415009,10.363766,Bronchiectasis
-544.3845,102.49438,69.569984,35.749443,16.063803,12.954834,17.856167,20.527187,17.12659,10.860914,6.687029,6.273852,7.558824,Bronchiectasis
-641.1264,115.82153,57.574486,28.423248,13.925919,19.993294,22.615292,29.580536,22.720165,19.624289,13.208241,14.583045,11.603676,Bronchiectasis
-548.33624,206.56058,69.569496,-0.71708775,-12.54362,5.0975833,-0.5733296,-1.3399063,-5.678232,4.581027,2.3604894,5.22943,1.7765334,Bronchiectasis
-494.3866,115.5898,57.364635,20.236296,18.52427,30.289108,33.098454,23.33256,10.470199,5.1770825,9.766143,15.699951,13.31647,Bronchiolitis
-553.0908,114.71817,44.908134,28.43641,21.862766,22.75373,25.195017,19.977531,11.813922,6.0647364,5.614094,7.708172,8.030398,Bronchiolitis
